address,type_object,type_permit,number_permit,date_permit,latitude_1,longitude_1,latitude_2,longitude_2
"ул.1-я Луговая, 44б","Склад лесоматериалов","На строительство",RU61310000-6996-1,01.04.2009,47.1779665028915,39.6431154710347,"416943,3141","2198518,447"
"левый берег реки Дон: ул.Шоссейная, склоны Ворошиловского моста, ул.Левобережная, южнее Ворошиловского моста, ул.Береговая, 37/1, Батайский въезд, съезды с Ворошиловского моста; правый берег реки Дон: просп.Ворошиловский, ул.Донская, ул.Нижнебульварная","Мостовой переход через р.Дон в створе Ворошиловского проспекта в г.Ростове-на-Дону. Линейный объект (На реконструкцию). Здания, строения и сооружения, входящие в инфраструктуру линейного объекта (строительство)","На строительство",RU61310000-8082-1,19.09.2013,47.2159961401607,39.7219810552461,"421071,5838","2204564,901"
"левый берег реки Дон: ул.Шоссейная, склоны Ворошиловского моста, ул.Левобережная, южнее Ворошиловского моста, ул.Береговая, 37/1, Батайский въезд, съезды с Ворошиловского моста; правый берег реки Дон: просп.Ворошиловский, ул.Донская, ул.Нижнебульварная","Мостовой переход через р.Дон в створе Ворошиловского проспекта в г.Ростове-на-Дону. Линейный объект (На реконструкцию). Здания, строения и сооружения, входящие в инфраструктуру линейного объекта (строительство)","На строительство",RU61310000-8082-1,19.09.2013,47.2168216892497,39.7208700749047,"421164,7234","2204482,232"
"левый берег реки Дон: ул.Шоссейная, склоны Ворошиловского моста, ул.Левобережная, южнее Ворошиловского моста, ул.Береговая, 37/1, Батайский въезд, съезды с Ворошиловского моста; правый берег реки Дон: просп.Ворошиловский, ул.Донская, ул.Нижнебульварная","Мостовой переход через р.Дон в створе Ворошиловского проспекта в г.Ростове-на-Дону. Линейный объект (На реконструкцию). Здания, строения и сооружения, входящие в инфраструктуру линейного объекта (строительство)","На строительство",RU61310000-8082-1,19.09.2013,47.2162568704029,39.7205719792816,"421102,2961","2204458,636"
"пр-кт. Богатяновский Спуск, 31",Гостиница,"На строительство",61-310-881601-2016,13.04.2016,47.224136457013,39.7305420585744,"421966,1222","2205227,905"
"Социалистическая ул., 145","Выставочный комплекс","На строительство",RU61310000-7255-2,25.02.2011,47.2236855647907,39.7293079088644,"421917,4966","2205133,63"
"Социалистическая ул., 145","Выставочный комплекс","На строительство",RU61310000-7255-2/1,29.12.2011,47.2236855647907,39.7293079088644,"421917,4966","2205133,63"
"ул. Большая Садовая, 114а","Гостиница малой вместимости","На реконструкцию",61-310-881701-2016,13.04.2016,47.2235171347271,39.7260838717972,"421902,701","2204889,151"
"ул. Большая Садовая, 114а","Гостиница малой вместимости","На реконструкцию",61-310-881701-2016,13.04.2016,47.2235171347271,39.7260838717972,"421902,701","2204889,151"
"левый берег реки Дон: ул.Шоссейная, склоны Ворошиловского моста, ул.Левобережная, южнее Ворошиловского моста, ул.Береговая, 37/1, Батайский въезд, съезды с Ворошиловского моста; правый берег реки Дон: просп.Ворошиловский, ул.Донская, ул.Нижнебульварная","Мостовой переход через р.Дон в створе Ворошиловского проспекта в г.Ростове-на-Дону. Линейный объект (На реконструкцию). Здания, строения и сооружения, входящие в инфраструктуру линейного объекта (строительство)","На строительство",RU61310000-8082-1,19.09.2013,47.2167881428247,39.7219125885349,"421159,7169","2204561,138"
"Социалистическая ул., 126","административно-учебный корпусо","На реконструкцию",RU61310000-7456-1,19.11.2010,47.2220452391309,39.7255620525796,"421739,7026","2204846,992"
"ул. Петровская, 3","Многоквартирный жилой дом с помещениями общественного назначения и подземной автостоянкой","На строительство",61-310-895801-2016,18.11.2016,47.2217703083477,39.7263637085162,"421708,1594","2204907,217"
"пер. Кольцовский, 6а","Офисное здание","На строительство",61-310-876801-2016,02.02.2016,47.2216126582437,39.7285269022616,"421687,996","2205070,774"
"Университетский пер., 18","6-ти этажный жилой дом со встроенными офисными помещениями  и помещениями для работы с детьми","На строительство",RU61310000-6931-1,20.01.2009,47.2214611908806,39.7297131245689,"421669,7128","2205160,347"
"пр-кт Богатяновский спуск, 11а","Многоквартирный жилой дом со встроенными помещениями общественного назначения и подземной автостоянкой","На строительство",61-310-883501-2016,28.04.2016,47.2213394549832,39.7318767903085,"421653,5485","2205324,005"
